id,review_tier,question_text,difficulty,predicted_subject,flag
303,3-PICK_FROM_SUBJECT,"According to the accrual concept, expenses are recognized:",medium,Accounting,"Depreciation/accrual concept not covered by Accounting subtopic list (closest topic is Final Accounts, but no exact match)"
157,3-PICK_FROM_SUBJECT,The enzyme responsible for the initial digestion of protein in the human stomach is called:,medium,Biology,Human digestive enzymes (pepsin) not covered by Biology subtopic list
170,3-PICK_FROM_SUBJECT,The ability of living organisms to maintain a stable internal environment despite changes in external conditions is known as:,medium,Biology,Homeostasis concept not covered by Biology subtopic list
283,3-PICK_FROM_SUBJECT,The end products of aerobic respiration in animals are:,easy,Biology,End products of aerobic respiration not covered by Biology subtopic list
325,3-PICK_FROM_SUBJECT,"In the IELTS Listening test, how does the difficulty generally progress through the four sections?",medium,Biology,"IELTS test-specific content, not part of this curriculum's subject list"
366,3-PICK_FROM_SUBJECT,A key characteristic of all living organisms is their ability to maintain a stable internal environment despite external changes. This process is known as:,medium,Biology,Homeostasis concept not covered by Biology subtopic list
379,3-PICK_FROM_SUBJECT,The increase in size and complexity of an organism over time is best described as:,medium,Biology,'Growth' as a basic characteristic of life not covered by Biology subtopic list
393,3-PICK_FROM_SUBJECT,"When your body temperature rises, you sweat to cool down, and when it drops, you shiver to generate heat. This is an example of:",medium,Biology,Homeostasis concept not covered by Biology subtopic list
498,3-PICK_FROM_SUBJECT,Which two sacraments are generally recognised by most Protestant denominations as being instituted by Christ?,medium,Biology,"predicted_subject was Biology; content is CRS (Christian sacraments), but no matching CRS subtopic exists"
508,3-PICK_FROM_SUBJECT,Which enzyme is responsible for the initial digestion of starch in the human mouth?,easy,Biology,Human digestive enzymes (amylase) not covered by Biology subtopic list
908,3-PICK_FROM_SUBJECT,"Which organelle is involved in the modification, sorting, and packaging of proteins and lipids for secretion or delivery to other organelles?",medium,Biology,Golgi apparatus function - not covered by Biology subtopic list (only mitochondria and nucleus are listed organelles)
924,3-PICK_FROM_SUBJECT,What is the fundamental unit of structure and function in all known living organisms?,medium,Biology,General 'cell theory' concept not covered by Biology subtopic list (only cell division and specific organelles are listed)
926,3-PICK_FROM_SUBJECT,The process by which living organisms produce new individuals of their own kind is called:,medium,Biology,General definition of reproduction given; cannot confidently choose between Asexual and Sexual Reproduction subtopics without more context
935,3-PICK_FROM_SUBJECT,Which of the following is NOT considered a basic need for most living organisms?,medium,Biology,Basic 'characteristics of living things' concept not covered by Biology subtopic list
938,3-PICK_FROM_SUBJECT,A unifying characteristic that distinguishes living organisms from non-living matter is their ability to:,medium,Biology,Basic 'characteristics of living things' concept not covered by Biology subtopic list
72,3-PICK_FROM_SUBJECT,Which large foramen at the base of the occipital bone transmits the spinal cord as it exits the cranial cavity?,hard,Chemistry,"predicted_subject was Chemistry; content is human anatomy (occipital bone/foramen magnum), not covered by any subject's subtopic list"
108,3-PICK_FROM_SUBJECT,The physiological process in plants where flowering and other developmental stages are triggered by the relative lengths of day and night is called:,medium,Biology,Photoperiodism not covered by Biology subtopic list
201,3-PICK_FROM_SUBJECT,Convert the binary number 10111_2 to base 10.,easy,Chemistry,"predicted_subject was Chemistry; content is Data Processing (binary-to-decimal conversion), but no matching Data Processing subtopic exists (number systems not covered)"
275,3-PICK_FROM_SUBJECT,"In the contact process for the manufacture of H₂SO₄, the catalyst used is:",medium,Chemistry,Industrial contact process (H2SO4 manufacture) not covered by Chemistry subtopic list
439,3-PICK_FROM_SUBJECT,"For a body to be in stable equilibrium, its center of gravity must be:",medium,Physics,Stable equilibrium/center of gravity not covered by Physics subtopic list
685,3-PICK_FROM_SUBJECT,"In the Gospel of Matthew, which prophet foretold that a virgin would conceive and bear a son?",easy,CRS,Prophecy/nativity content (Isaiah foretelling virgin birth) not covered by CRS subtopic list
708,3-PICK_FROM_SUBJECT,Convert 10110₂ to base ten.,medium,Chemistry,"predicted_subject was Chemistry; content is Data Processing (binary-to-decimal conversion), but no matching Data Processing subtopic exists (number systems not covered)"
367,3-PICK_FROM_SUBJECT,Which level of organization represents the fundamental unit of life?,medium,Biology,"Basic Biology/physiology concept (kidney function, virus classification, water properties, cell theory) not covered by Biology subtopic list"
382,3-PICK_FROM_SUBJECT,"Water is crucial for life due to its unique properties, including its ability to dissolve many substances. This property is known as:",medium,Biology,"Basic Biology/physiology concept (kidney function, virus classification, water properties, cell theory) not covered by Biology subtopic list"
383,3-PICK_FROM_SUBJECT,Viruses are often considered to be at the edge of life because they:,medium,Biology,"Basic Biology/physiology concept (kidney function, virus classification, water properties, cell theory) not covered by Biology subtopic list"
