id,review_tier,question_text,predicted_subject,flag
682,4-WEAK_HINT_VERIFY,"According to the first creation account, on which day did God create man in His image?",Financial Accounting,
999,4-WEAK_HINT_VERIFY,"Which time management technique involves setting a timer for 25 minutes of focused work, followed by a short break?",Business admin,
323,4-WEAK_HINT_VERIFY,"When describing a trend in an Academic Writing Task 1 graph, which of the following is LEAST appropriate to include?",English Language,
440,4-WEAK_HINT_VERIFY,Which of the following phenomena is responsible for the splitting of white light into its component colors when it passes through a prism?,Physics,
882,4-WEAK_HINT_VERIFY,"Which landmark piece of legislation, passed in 1964, prohibited discrimination based on race, color, religion, sex, or national origin in public accommodations and employment?",Civic Education,
677,4-WEAK_HINT_VERIFY,"Obedience to traffic rules, respecting the rights of others, and orderliness are ways of exhibiting which core national value?",Civic Education,
155,4-WEAK_HINT_VERIFY,Trade between two different countries is referred to as:,Commerce,
669,4-WEAK_HINT_VERIFY,Trade carried out within a country is called:,Commerce,
748,4-WEAK_HINT_VERIFY,Which body within the World Trade Organization (WTO) is responsible for adjudicating trade disputes between member countries?,Commerce,
750,4-WEAK_HINT_VERIFY,"The Theory of Second Best suggests that in a situation where ideal free trade conditions cannot be fully met due to existing distortions, moving towards free trade in only *some* sectors might not necessarily improve overall welfare. This concept implies:",Commerce,
752,4-WEAK_HINT_VERIFY,The primary purpose of Incoterms (International Commercial Terms) in international trade is to:,Economics,
753,4-WEAK_HINT_VERIFY,A 'beggar-thy-neighbor' policy in international trade refers to:,Economics,
145,4-WEAK_HINT_VERIFY,The marketing mix element that deals with the strategies for making a product available to target consumers is known as:,GNS,
257,4-WEAK_HINT_VERIFY,An agency established by the government to set standards for goods and protect consumers from substandard products in Nigeria is the,Government,
746,4-WEAK_HINT_VERIFY,An export subsidy provided by a government to its domestic producers will typically result in:,Government,
751,4-WEAK_HINT_VERIFY,"If a country's export price index increases by 10% and its import price index increases by 5%, what can be concluded about its commodity terms of trade?",Commerce,
803,4-WEAK_HINT_VERIFY,"A shift towards greater concern for personal health and fitness among consumers, influencing product choices and marketing messages, is an example of a change in which macroenvironmental factor?",Marketing,
139,4-WEAK_HINT_VERIFY,"Identify the adverb in the following sentence: ""The athlete ran **quickly** to catch up with his opponents.""",English Language,
764,4-WEAK_HINT_VERIFY,What part of speech is the word 'beautifully' in the sentence: 'She sings beautifully.'?,English Language,
766,4-WEAK_HINT_VERIFY,What part of speech is 'on' in the sentence: 'The book is on the table.'?,English Language,
767,4-WEAK_HINT_VERIFY,Identify the adjective in the sentence: 'The lazy cat slept all day.',English Language,
768,4-WEAK_HINT_VERIFY,"What part of speech is 'she' in the sentence: 'When she arrived, everyone cheered.'?",English Language,
770,4-WEAK_HINT_VERIFY,What part of speech is 'Wow!' in the sentence: 'Wow! That was an amazing performance.'?,English Language,
771,4-WEAK_HINT_VERIFY,What part of speech is the word 'Freedom' in the sentence: 'Freedom is a cherished value.'?,English Language,
772,4-WEAK_HINT_VERIFY,Consider the sentence: 'I have a lot of work to do.' What part of speech is 'work' in this context?,English Language,
773,4-WEAK_HINT_VERIFY,"In the sentence 'He is a fast runner,' what part of speech is the word 'fast'?",English Language,
378,4-WEAK_HINT_VERIFY,"When a plant grows towards a light source, this is an example of which characteristic of life?",Physics,
929,4-WEAK_HINT_VERIFY,A plant bending towards a light source is an example of which characteristic of life?,Physics,
463,4-WEAK_HINT_VERIFY,"In a multi-party system, elections are often decided by...",Biology,
