id,review_tier,question_text,difficulty,predicted_subject,predicted_subtopic_id,predicted_subtopic_name,final_subtopic_id,annotation
173,1-CONFIRM,"According to the double-entry system, every debit entry must have a corresponding:",easy,Accounting,92.0,Double-Entry Principle,92.0,
294,1-CONFIRM,"According to the double-entry principle, for every debit entry, there must be a corresponding:",easy,Accounting,92.0,Double-Entry Principle,92.0,
101,1-CONFIRM,"In agricultural plants, which organelle is the primary site for converting light energy into chemical energy during photosynthesis, a process crucial for biomass production?",medium,Biology,11.0,Photosynthesis,11.0,
106,1-CONFIRM,"Beyond anchoring the plant, the most vital function of a plant's root system for its growth and survival in an agricultural ecosystem is:",medium,Biology,18.0,Ecosystem,15.0,
159,1-CONFIRM,"In a typical food chain, which organism represents the primary consumer?",easy,Biology,16.0,Food Chain,16.0,
160,1-CONFIRM,"Organisms that are prokaryotic, unicellular, and lack a true nucleus belong to the kingdom:",medium,Biology,78.0,nucleus,78.0,
277,1-CONFIRM,All of the following are necessary raw materials for photosynthesis EXCEPT:,easy,Biology,11.0,Photosynthesis,11.0,
280,1-CONFIRM,"In a typical food chain, which of the following organisms represents a primary consumer?",easy,Biology,16.0,Food Chain,16.0,
282,1-CONFIRM,Which of the following is an advantage of asexual reproduction?,medium,Biology,9.0,asexual reproduction,9.0,
286,1-CONFIRM,The study of fossils provides direct evidence for evolution primarily through:,medium,Biology,21.0,Evidence Of Evolution,21.0,
388,1-CONFIRM,The variety of life in the world or in a particular habitat or ecosystem is referred to as:,medium,Biology,18.0,Ecosystem,18.0,
391,1-CONFIRM,Energy flows through an ecosystem typically in what direction?,medium,Biology,18.0,Ecosystem,18.0,
392,1-CONFIRM,Which process is primarily responsible for generating genetic variation within a sexually reproducing population?,medium,Biology,83.0,Genetic variation,83.0,
503,1-CONFIRM,"In a typical food chain, which of the following organisms are classified as primary consumers?",easy,Biology,16.0,Food Chain,16.0,
515,1-CONFIRM,"The study of homologous structures, such as the forelimbs of mammals (e.g., human arm, bat wing, whale flipper), provides strong evidence for which evolutionary concept?",hard,Biology,21.0,Evidence Of Evolution,21.0,
662,1-CONFIRM,Photosynthesis occurs mainly in the:,easy,Biology,11.0,Photosynthesis,11.0,
909,1-CONFIRM,What is the main function of the nucleus in eukaryotic cells?,medium,Biology,78.0,nucleus,78.0,
928,1-CONFIRM,"An increase in size and complexity, often involving cell division and differentiation, is referred to as:",medium,Biology,76.0,cell division,76.0,
932,1-CONFIRM,Organisms whose cells lack a true nucleus and other membrane-bound organelles are classified as:,medium,Biology,78.0,nucleus,78.0,
5,1-CONFIRM,Which of the following organic compounds is generally considered the most acidic?,medium,Chemistry,5.0,Acid,5.0,
10,1-CONFIRM,Which of the following compounds can exhibit cis-trans (geometric) isomerism?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
