subtopic_id,subtopic_name,topic_name,subject_name
92,Double-Entry Principle,Bookkeeping,Accounting
91,Source Documents,Bookkeeping,Accounting
98,Balance Sheet,Final Accounts,Accounting
97,"Trading, Profit and Loss Account",Final Accounts,Accounting
94,Balancing Ledger Accounts,Ledger Accounts,Accounting
93,Posting from Journals to Ledgers,Ledger Accounts,Accounting
90,Classification of Financial Transactions,logbook,Accounting
89,Recording Daily Transactions,logbook,Accounting
96,Errors Revealed and Not Revealed by a Trial Balance,Trial Balance,Accounting
95,Preparation of Trial Balance,Trial Balance,Accounting
101,Farm Animal Management,Animal Production,Agricultural Science
102,Livestock Feeding and Nutrition,Animal Production,Agricultural Science
100,Crop Pests and Diseases,Crop Production,Agricultural Science
99,Methods of Crop Propagation,Crop Production,Agricultural Science
106,Farm Planning and Organization,Farm Management,Agricultural Science
105,Farm Records and Accounts,Farm Management,Agricultural Science
108,Importance of Farm Records,Log Booking,Agricultural Science
107,Recording Farm Activities,Log Booking,Agricultural Science
104,Soil Fertility and Conservation,Soil Science,Agricultural Science
103,Soil Formation,Soil Science,Agricultural Science
22,fertilization and development,Biolo,Biology
8,reproductive system,Biolo,Biology
76,cell division,Cell biology,Biology
77,plasmodea,Cell biology,Biology
79,mitocondrea,cell structure and organelles,Biology
78,nucleus,cell structure and organelles,Biology
18,Ecosystem,Ecology,Biology
17,Enviromental conservation,Ecology,Biology
16,Food Chain,Ecology,Biology
20,Adaptation,evolution,Biology
21,Evidence Of Evolution,evolution,Biology
19,Natural Selecton,evolution,Biology
80,DNA,genetics,Biology
81,Genes,genetics,Biology
83,Genetic variation,Heredity and inheritance,Biology
82,Mendelian inheritance,Heredity and inheritance,Biology
85,Functions of the nervous system,Nervous system,Biology
84,Stucture of the nervous system,Nervous system,Biology
13,Autotrophic Nutrition,Nutrition,Biology
12,Heterotrophic Nutrition,Nutrition,Biology
72,mode of nutrition,Nutrition,Biology
71,photosyntensis,Nutrition,Biology
11,Photosynthesis,Nutrition,Biology
9,asexual reproduction,reproductive system,Biology
10,Sexual  Reproduction,reproductive system,Biology
14,Blood Circulation,Transport System,Biology
15,Transport in plant,Transport System,Biology
267,Barriers to Effective Communication,Communication in Business,Business admin
268,Types of Business Communication,Communication in Business,Business admin
266,Characteristics of an Entrepreneur,Entrepreneurship,Business admin
265,Small Business Management,Entrepreneurship,Business admin
261,Importance of Business Records,Log Booking,Business admin
262,Recording Business Activities,Log Booking,Business admin
264,Functions of Management,Management,Business admin
263,Levels of Management,Management,Business admin
271,Functions of an Office,Office Practice,Business admin
270,Office Equipment and Their Uses,Office Practice,Business admin
5,Acid,"Acid,Base and salts",Chemistry
24,neutralization Reaction,"Acid,Base and salts",Chemistry
25,Electronic configuration,Atomic Structure,Chemistry
26,Subatomic Particle,Atomic Structure,Chemistry
75,Electronic Configurations and Rules,Atomic Structure and Periodicity,Chemistry
74,Periodic Law and Atomic Properties,Atomic Structure and Periodicity,Chemistry
73,Quantum Numbers and Orbital Shapes,Atomic Structure and Periodicity,Chemistry
28,Covalent Bounding,Chemical Bonding,Chemistry
27,Ionic Bounding,Chemical Bonding,Chemistry
110,"Intermolecular Forces (Hydrogen bonding, van der Waals)",Chemical Bonding and Molecular Geometry,Chemistry
109,"Ionic, Covalent, and Coordinate Bonding",Chemical Bonding and Molecular Geometry,Chemistry
111,Valence Shell Electron Pair Repulsion (VSEPR) Theory,Chemical Bonding and Molecular Geometry,Chemistry
116,"Aliphatic Hydrocarbons (Alkanes, Alkenes, Alkynes)",Organic Chemistry,Chemistry
117,Aromatic Hydrocarbons (Benzene and its derivatives),Organic Chemistry,Chemistry
31,Hydro Carbon,Organic Chemistry,Chemistry
115,Isomerism in Organic Compounds,Organic Chemistry,Chemistry
33,Petroleum And Petrolchemical,Organic Chemistry,Chemistry
29,Group and Period,Periodic Table,Chemistry
30,Periodic Properties Of Element,Periodic Table,Chemistry
86,Avogadro’s Constant and Molar Mass,The Mole Concept and Stoichiometry,Chemistry
87,Empirical and Molecular Formulae,The Mole Concept and Stoichiometry,Chemistry
88,Solution Stoichiometry and Titration,The Mole Concept and Stoichiometry,Chemistry
112,Enthalpy and Entropy Changes,Thermochemistry and Energetics,Chemistry
113,"Hess’s Law of Heat Summation,",Thermochemistry and Energetics,Chemistry
